"Time","Subsystem #1|PMU|PMU1|PMU1|IAp4-1an","Subsystem #1|PMU|PMU1|PMU1|IAp4-1ma","Subsystem #1|PMU|PMU1|PMU1|IBp5-1an","Subsystem #1|PMU|PMU1|PMU1|IBp5-1ma","Subsystem #1|PMU|PMU1|PMU1|ICp6-1an","Subsystem #1|PMU|PMU1|PMU1|ICp6-1ma","Subsystem #1|PMU|PMU1|PMU1|PMU1freq","Subsystem #1|PMU|PMU1|PMU1|PMU1rocof","Subsystem #1|PMU|PMU1|PMU1|VAp1-1an","Subsystem #1|PMU|PMU1|PMU1|VAp1-1ma","Subsystem #1|PMU|PMU1|PMU1|VBp2-1an","Subsystem #1|PMU|PMU1|PMU1|VBp2-1ma","Subsystem #1|PMU|PMU1|PMU1|VCp3-1an","Subsystem #1|PMU|PMU1|PMU1|VCp3-1ma"
0.0,-0.3019551635,4663.249512,-2.396349669,4663.262207,1.792437792,4663.257813,60.03300476,-1.099965957E-4,-0.2955609262,10926.29297,-2.389955521,10926.32422,1.798832059,10926.31348
0.015,-0.3019551635,4663.249512,-2.396349669,4663.262207,1.792437792,4663.257813,60.03300476,-1.099965957E-4,-0.2955609262,10926.29297,-2.389955521,10926.32422,1.798832059,10926.31348
0.03,-0.2950445116,4663.257813,-2.389437437,4663.249023,1.799353242,4663.262207,60.03300476,-1.527110044E-6,-0.2886503637,10926.3125,-2.383043289,10926.29395,1.805747509,10926.32324
0.045,-0.2950445116,4663.257813,-2.389437437,4663.249023,1.799353242,4663.262207,60.03300476,-1.527110044E-6,-0.2886503637,10926.3125,-2.383043289,10926.29395,1.805747509,10926.32324
0.06,-0.2881289721,4663.265137,-2.382527113,4663.259277,1.806265593,4663.25,60.03300476,8.053077909E-5,-0.2817347944,10926.3291,-2.376132965,10926.31738,1.81265986,10926.2959
0.075,-0.2881289721,4663.265137,-2.382527113,4663.259277,1.806265593,4663.25,60.03300476,8.053077909E-5,-0.2817347944,10926.3291,-2.376132965,10926.31738,1.81265986,10926.2959
0.09,-0.2881289721,4663.265137,-2.382527113,4663.259277,1.806265593,4663.25,60.03300476,8.053077909E-5,-0.2817347944,10926.3291,-2.376132965,10926.31738,1.81265986,10926.2959
0.105,-0.2812167704,4663.249512,-2.375611544,4663.262207,1.813176155,4663.257324,60.03300476,-2.049037357E-5,-0.2748225629,10926.29297,-2.369217396,10926.32422,1.819570303,10926.3125
0.12,-0.2812167704,4663.249512,-2.375611544,4663.262207,1.813176155,4663.257324,60.03300476,-2.049037357E-5,-0.2748225629,10926.29297,-2.369217396,10926.32422,1.819570303,10926.3125
0.135,-0.2743062079,4663.257813,-2.368699074,4663.249512,1.820091486,4663.262207,60.03300476,-3.884610123E-5,-0.2679120302,10926.31152,-2.362304926,10926.29395,1.826485753,10926.32422
0.15,-0.2743062079,4663.257813,-2.368699074,4663.249512,1.820091486,4663.262207,60.03300476,-3.884610123E-5,-0.2679120302,10926.31152,-2.362304926,10926.29395,1.826485753,10926.32422
0.165,-0.2673906982,4663.265137,-2.36178875,4663.259277,1.827003956,4663.25,60.03300476,1.196390294E-4,-0.2609965205,10926.33008,-2.355394602,10926.31738,1.833398223,10926.29492
0.18,-0.2673906982,4663.265137,-2.36178875,4663.259277,1.827003956,4663.25,60.03300476,1.196390294E-4,-0.2609965205,10926.33008,-2.355394602,10926.31738,1.833398223,10926.29492
0.195,-0.2604784071,4663.249512,-2.35487318,4663.262695,1.833914399,4663.257324,60.03300476,-1.000461489E-4,-0.2540841997,10926.29395,-2.348479033,10926.32422,1.840308666,10926.31152
0.21,-0.2604784071,4663.249512,-2.35487318,4663.262695,1.833914399,4663.257324,60.03300476,-1.000461489E-4,-0.2540841997,10926.29395,-2.348479033,10926.32422,1.840308666,10926.31152
0.225,-0.2604784071,4663.249512,-2.35487318,4663.262695,1.833914399,4663.257324,60.03300476,-1.000461489E-4,-0.2540841997,10926.29395,-2.348479033,10926.32422,1.840308666,10926.31152
0.24,-0.253567934,4663.257324,-2.347960711,4663.249512,1.84082973,4663.262207,60.03300476,-5.570338544E-5,-0.2471736819,10926.31152,-2.341566563,10926.29395,1.847223997,10926.32422
0.255,-0.253567934,4663.257324,-2.347960711,4663.249512,1.84082973,4663.262207,60.03300476,-5.570338544E-5,-0.2471736819,10926.31152,-2.341566563,10926.29395,1.847223997,10926.32422
0.27,-0.246652469,4663.265625,-2.341050386,4663.258789,1.847742438,4663.250488,60.03300476,8.732757851E-5,-0.2402583212,10926.33105,-2.334656239,10926.31641,1.854136705,10926.2959
0.285,-0.246652469,4663.265625,-2.341050386,4663.258789,1.847742438,4663.250488,60.03300476,8.732757851E-5,-0.2402583212,10926.33105,-2.334656239,10926.31641,1.854136705,10926.2959
0.3,-0.239740029,4663.249512,-2.334135056,4663.262695,1.854652762,4663.256836,60.03300476,-5.355518806E-5,-0.2333457917,10926.29395,-2.327740669,10926.3252,1.86104691,10926.31055
0.315,-0.239740029,4663.249512,-2.334135056,4663.262695,1.854652762,4663.256836,60.03300476,-5.355518806E-5,-0.2333457917,10926.29395,-2.327740669,10926.3252,1.86104691,10926.31055
0.33,-0.2328295857,4663.256836,-2.327222347,4663.249512,1.861568093,4663.262695,60.03300476,-5.160626824E-5,-0.2264354229,10926.31055,-2.320828199,10926.29492,1.867962241,10926.3252
0.345,-0.2328295857,4663.256836,-2.327222347,4663.249512,1.861568093,4663.262695,60.03300476,-5.160626824E-5,-0.2264354229,10926.31055,-2.320828199,10926.29492,1.867962241,10926.3252
0.36,-0.2259141952,4663.265625,-2.320312262,4663.258301,1.868480802,4663.250488,60.03300476,5.627211067E-5,-0.2195200026,10926.33105,-2.313917875,10926.31543,1.874875069,10926.29688
0.375,-0.2259141952,4663.265625,-2.320312262,4663.258301,1.868480802,4663.250488,60.03300476,5.627211067E-5,-0.2195200026,10926.33105,-2.313917875,10926.31543,1.874875069,10926.29688
0.39,-0.2259141952,4663.265625,-2.320312262,4663.258301,1.868480802,4663.250488,60.03300476,5.627211067E-5,-0.2195200026,10926.33105,-2.313917875,10926.31543,1.874875069,10926.29688
0.405,-0.2190016359,4663.25,-2.313396692,4663.262695,1.875391126,4663.256348,60.03300476,-8.020537643E-5,-0.2126074433,10926.29492,-2.307002544,10926.32617,1.881785274,10926.31055
0.42,-0.2190016359,4663.25,-2.313396692,4663.262695,1.875391126,4663.256348,60.03300476,-8.020537643E-5,-0.2126074433,10926.29492,-2.307002544,10926.32617,1.881785274,10926.31055
0.435,-0.212091282,4663.256836,-2.306483984,4663.249512,1.882306337,4663.262695,60.03300476,-5.567440439E-6,-0.2056970894,10926.30957,-2.300089836,10926.29492,1.888700485,10926.3252
0.45,-0.212091282,4663.256836,-2.306483984,4663.249512,1.882306337,4663.262695,60.03300476,-5.567440439E-6,-0.2056970894,10926.30957,-2.300089836,10926.29492,1.888700485,10926.3252
0.465,-0.2051759511,4663.265625,-2.299573898,4663.258301,1.889219165,4663.250488,60.03300476,1.020859563E-4,-0.1987817734,10926.33203,-2.29317975,10926.31445,1.895613432,10926.29688
0.48,-0.2051759511,4663.265625,-2.299573898,4663.258301,1.889219165,4663.250488,60.03300476,1.020859563E-4,-0.1987817734,10926.33203,-2.29317975,10926.31445,1.895613432,10926.29688
0.495,-0.1982632577,4663.25,-2.292658567,4663.262695,1.89612937,4663.255859,60.03300476,-1.000443353E-5,-0.191869095,10926.29395,-2.286264181,10926.32617,1.902523637,10926.30957
0.51,-0.1982632577,4663.25,-2.292658567,4663.262695,1.89612937,4663.255859,60.03300476,-1.000443353E-5,-0.191869095,10926.29395,-2.286264181,10926.32617,1.902523637,10926.30957
0.525,-0.1982632577,4663.25,-2.292658567,4663.262695,1.89612937,4663.255859,60.03300476,-1.000443353E-5,-0.191869095,10926.29395,-2.286264181,10926.32617,1.902523637,10926.30957
0.54,-0.1913529634,4663.256348,-2.285745621,4663.25,1.903044581,4663.262695,60.03300476,-2.72887155E-5,-0.1849587858,10926.30957,-2.279351473,10926.29492,1.909438848,10926.3252
0.555,-0.1913529634,4663.256348,-2.285745621,4663.25,1.903044581,4663.262695,60.03300476,-2.72887155E-5,-0.1849587858,10926.30957,-2.279351473,10926.29492,1.909438848,10926.3252
0.57,-0.1844376922,4663.266113,-2.278835535,4663.257813,1.909957528,4663.250488,60.03300476,1.161723703E-4,-0.1780435443,10926.33203,-2.272441387,10926.31348,1.916351795,10926.29688
0.585,-0.1844376922,4663.266113,-2.278835535,4663.257813,1.909957528,4663.250488,60.03300476,1.161723703E-4,-0.1780435443,10926.33203,-2.272441387,10926.31348,1.916351795,10926.29688
0.6,-0.1775248945,4663.25,-2.271920204,4663.263184,1.916867733,4663.255859,60.03300476,-5.404706462E-5,-0.1711306572,10926.29492,-2.265526056,10926.32617,1.923261881,10926.30859
0.615,-0.1775248945,4663.25,-2.271920204,4663.263184,1.916867733,4663.255859,60.03300476,-5.404706462E-5,-0.1711306572,10926.29492,-2.265526056,10926.32617,1.923261881,10926.30859
0.63,-0.17061463,4663.255859,-2.265007257,4663.25,1.923782825,4663.263184,60.03300476,-1.645914563E-5,-0.1642204374,10926.30859,-2.258612871,10926.2959,1.930176973,10926.3252
0.645,-0.17061463,4663.255859,-2.265007257,4663.25,1.923782825,4663.263184,60.03300476,-1.645914563E-5,-0.1642204374,10926.30859,-2.258612871,10926.2959,1.930176973,10926.3252
0.66,-0.1636994481,4663.266113,-2.258097172,4663.257324,1.930695891,4663.250977,60.03300476,8.848607104E-5,-0.1573052853,10926.33301,-2.251703024,10926.3125,1.937090158,10926.29785
0.675,-0.1636994481,4663.266113,-2.258097172,4663.257324,1.930695891,4663.250977,60.03300476,8.848607104E-5,-0.1573052853,10926.33301,-2.251703024,10926.3125,1.937090158,10926.29785
0.69,-0.1636994481,4663.266113,-2.258097172,4663.257324,1.930695891,4663.250977,60.03300476,8.848607104E-5,-0.1573052853,10926.33301,-2.251703024,10926.3125,1.937090158,10926.29785
0.705,-0.1567865163,4663.250488,-2.251181841,4663.263184,1.937605977,4663.255371,60.03300476,1.213573455E-6,-0.1503923088,10926.29492,-2.244787693,10926.32617,1.944000244,10926.30762
